fecha,producto,tipo,produccion_me,produccion_real,cumplimiento
2025-12-12,Refinería 2,refineria,37.0,0.0,0.0
2025-12-12,Total Oleína,total,209.0,0.0,0.0
2025-12-13,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-13,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-13,Margarinas,producto,63.0,0.0,0.0
2025-12-13,Refinería 1,refineria,355.0,0.0,0.0
2025-12-13,Refinería 2,refineria,37.0,0.0,0.0
2025-12-13,Total Oleína,total,209.0,0.0,0.0
2025-12-14,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-14,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-14,Margarinas,producto,59.85,0.0,0.0
2025-12-14,Refinería 1,refineria,280.0,0.0,0.0
2025-12-14,Refinería 2,refineria,37.0,0.0,0.0
2025-12-14,Total Oleína,total,209.0,0.0,0.0
2025-12-15,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-15,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-15,Margarinas,producto,63.0,0.0,0.0
2025-12-15,Refinería 1,refineria,355.0,0.0,0.0
2025-12-15,Refinería 2,refineria,37.0,0.0,0.0
2025-12-15,Total Oleína,total,209.0,0.0,0.0
2025-12-16,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-16,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-16,Margarinas,producto,63.0,0.0,0.0
2025-12-16,Refinería 1,refineria,355.0,0.0,0.0
2025-12-16,Refinería 2,refineria,37.0,0.0,0.0
2025-12-16,Total Oleína,total,209.0,0.0,0.0
2025-12-17,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-17,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-17,Margarinas,producto,63.0,0.0,0.0
2025-12-17,Refinería 1,refineria,355.0,0.0,0.0
2025-12-17,Refinería 2,refineria,37.0,0.0,0.0
2025-12-17,Total Oleína,total,209.0,0.0,0.0
2025-12-18,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-18,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-18,Margarinas,producto,63.0,0.0,0.0
2025-12-18,Refinería 1,refineria,355.0,0.0,0.0
2025-12-18,Refinería 2,refineria,37.0,0.0,0.0
2025-12-18,Total Oleína,total,209.0,0.0,0.0
2025-12-19,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-19,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-19,Margarinas,producto,63.0,0.0,0.0
2025-12-19,Refinería 1,refineria,355.0,0.0,0.0
2025-12-19,Refinería 2,refineria,25.0,0.0,0.0
2025-12-19,Total Oleína,total,209.0,0.0,0.0
2025-12-20,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-20,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-20,Margarinas,producto,63.0,0.0,0.0
2025-12-20,Refinería 1,refineria,355.0,0.0,0.0
2025-12-20,Refinería 2,refineria,10.0,0.0,0.0
2025-12-20,Total Oleína,total,209.0,0.0,0.0
2025-12-21,Fracc 1,fraccionamiento,92.0,0.0,0.0
